Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2014,"Alabama Employees' Retirement System (ERS)","Alabama",6.44%,10.80%,8.52%,8.72%,17.24%
2015,"Alabama Employees' Retirement System (ERS)","Alabama",6.45%,11.56%,9.74%,8.26%,18.01%
2016,"Alabama Employees' Retirement System (ERS)","Alabama",6.63%,12.11%,8.60%,10.14%,18.74%
2017,"Alabama Employees' Retirement System (ERS)","Alabama",6.36%,11.59%,8.35%,9.60%,17.94%
2018,"Alabama Employees' Retirement System (ERS)","Alabama",6.55%,11.55%,8.32%,9.78%,18.09%
2019,"Alabama Employees' Retirement System (ERS)","Alabama",6.71%,12.34%,8.33%,10.72%,19.05%
2020,"Alabama Employees' Retirement System (ERS)","Alabama",6.77%,12.98%,8.24%,11.51%,19.75%
2021,"Alabama Employees' Retirement System (ERS)","Alabama",6.94%,12.52%,8.45%,11.01%,19.46%
2022,"Alabama Employees' Retirement System (ERS)","Alabama",7.41%,13.43%,9.58%,11.26%,20.84%
2023,"Alabama Employees' Retirement System (ERS)","Alabama",7.43%,13.18%,9.58%,11.04%,20.62%
2014,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.70%,35.24%,21.91%,22.03%,43.94%
2015,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.35%,34.20%,21.88%,20.68%,42.55%
2016,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.44%,39.75%,22.24%,25.95%,48.19%
2017,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.96%,39.20%,22.15%,26.02%,48.17%
2018,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.48%,37.66%,21.51%,24.63%,46.14%
2019,"Alabama Judicial Retirement Fund (JRF)","Alabama",9.09%,39.93%,21.21%,27.80%,49.02%
2020,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.96%,38.77%,20.37%,27.36%,47.73%
2021,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.83%,37.74%,20.31%,26.26%,46.57%
2022,"Alabama Judicial Retirement Fund (JRF)","Alabama",9.53%,41.90%,20.88%,30.55%,51.43%
2023,"Alabama Judicial Retirement Fund (JRF)","Alabama",8.83%,37.99%,20.57%,26.25%,46.82%
2014,"Alabama Teachers' Retirement System (TRS)","Alabama",7.59%,11.32%,9.52%,9.40%,18.91%
2015,"Alabama Teachers' Retirement System (TRS)","Alabama",7.55%,11.65%,10.43%,8.77%,19.20%
2016,"Alabama Teachers' Retirement System (TRS)","Alabama",7.46%,11.79%,9.85%,9.41%,19.25%
2017,"Alabama Teachers' Retirement System (TRS)","Alabama",7.38%,11.80%,9.30%,9.88%,19.18%
2018,"Alabama Teachers' Retirement System (TRS)","Alabama",7.37%,11.98%,9.52%,9.83%,19.35%
2019,"Alabama Teachers' Retirement System (TRS)","Alabama",7.30%,12.14%,9.01%,10.43%,19.44%
2020,"Alabama Teachers' Retirement System (TRS)","Alabama",6.95%,11.64%,9.14%,9.45%,18.59%
2021,"Alabama Teachers' Retirement System (TRS)","Alabama",7.29%,12.12%,9.15%,10.26%,19.41%
2022,"Alabama Teachers' Retirement System (TRS)","Alabama",7.59%,12.56%,9.67%,10.48%,20.15%
2023,"Alabama Teachers' Retirement System (TRS)","Alabama",7.28%,12.29%,9.63%,9.94%,19.57%
2014,"Alameda County Employees' Retirement Association","California",8.40%,22.48%,17.61%,13.26%,30.88%
2015,"Alameda County Employees' Retirement Association","California",8.77%,23.75%,18.25%,14.27%,32.52%
2016,"Alameda County Employees' Retirement Association","California",9.05%,25.51%,18.54%,16.02%,34.56%
2017,"Alameda County Employees' Retirement Association","California",8.98%,24.83%,18.83%,14.97%,33.80%
2018,"Alameda County Employees' Retirement Association","California",9.06%,25.78%,20.07%,14.77%,34.84%
2019,"Alameda County Employees' Retirement Association","California",9.53%,27.60%,19.94%,17.20%,37.13%
2020,"Alameda County Employees' Retirement Association","California",9.54%,27.86%,19.95%,17.45%,37.40%
2021,"Alameda County Employees' Retirement Association","California",9.63%,96.76%,20.37%,86.02%,106.39%
2022,"Alameda County Employees' Retirement Association","California",10.06%,23.49%,20.47%,13.08%,33.56%
2023,"Alameda County Employees' Retirement Association","California",10.10%,23.06%,20.57%,12.59%,33.16%
2014,"Alaska Judicial Retirement System","Alaska",5.68%,64.54%,37.77%,32.45%,70.22%
2015,"Alaska Judicial Retirement System","Alaska",6.00%,75.68%,43.05%,38.64%,81.69%
2016,"Alaska Judicial Retirement System","Alaska",5.73%,83.67%,43.05%,46.35%,89.40%
2017,"Alaska Judicial Retirement System","Alaska",6.29%,78.69%,44.20%,40.78%,84.98%
2018,"Alaska Judicial Retirement System","Alaska",5.70%,72.12%,44.20%,33.62%,77.82%
2019,"Alaska Judicial Retirement System","Alaska",6.07%,76.58%,42.11%,40.55%,82.66%
